"","X","surp_p_val","prev_surp_p_val","has_preview_condition","reread_condition","linear","additive_model","context","context_type"
"1",1,2.46842977088865e-181,6.84016221218333e-23,"Gathering",0,"linear",TRUE,"P","standard_contxt"
"2",2,4.73333604659501e-191,3.0000918586621e-30,"Gathering",0,"linear",TRUE,"P","standard_contxt"
"3",3,2.76861384151085e-175,9.24415842826493e-24,"Gathering",0,"linear",TRUE,"P","standard_contxt"
"4",4,9.70702837196298e-188,5.41937907257197e-24,"Gathering",0,"linear",TRUE,"P","standard_contxt"
"5",5,1.1812416503711e-185,1.55907713511321e-26,"Gathering",0,"linear",TRUE,"P","standard_contxt"
"6",6,3.0443210301754e-193,5.92770249623135e-29,"Gathering",0,"linear",TRUE,"P","standard_contxt"
"7",7,1.6893209385425e-183,3.02063629603715e-27,"Gathering",0,"linear",TRUE,"P","standard_contxt"
"8",8,1.48200502642325e-186,1.40841940168342e-33,"Gathering",0,"linear",TRUE,"P","standard_contxt"
"9",9,4.67800245816327e-185,7.88663994906994e-26,"Gathering",0,"linear",TRUE,"P","standard_contxt"
"10",10,5.65858696998529e-182,3.36278742503474e-25,"Gathering",0,"linear",TRUE,"P","standard_contxt"
"11",11,0,0,"Gathering",0,"nonlinear",TRUE,"P","standard_contxt"
"12",12,0,0,"Gathering",0,"nonlinear",TRUE,"P","standard_contxt"
"13",13,0,0,"Gathering",0,"nonlinear",TRUE,"P","standard_contxt"
"14",14,0,0,"Gathering",0,"nonlinear",TRUE,"P","standard_contxt"
"15",15,0,0,"Gathering",0,"nonlinear",TRUE,"P","standard_contxt"
"16",16,0,0,"Gathering",0,"nonlinear",TRUE,"P","standard_contxt"
"17",17,0,0,"Gathering",0,"nonlinear",TRUE,"P","standard_contxt"
"18",18,0,0,"Gathering",0,"nonlinear",TRUE,"P","standard_contxt"
"19",19,0,0,"Gathering",0,"nonlinear",TRUE,"P","standard_contxt"
"20",20,0,0,"Gathering",0,"nonlinear",TRUE,"P","standard_contxt"
"21",21,1.34884315046752e-12,0.0324569636107472,"Gathering",1,"linear",TRUE,"P","standard_contxt"
"22",22,9.41303298873694e-17,0.0466692744490244,"Gathering",1,"linear",TRUE,"P","standard_contxt"
"23",23,5.416412226865e-15,0.000197999985309854,"Gathering",1,"linear",TRUE,"P","standard_contxt"
"24",24,8.26199545402572e-15,0.00571654637458964,"Gathering",1,"linear",TRUE,"P","standard_contxt"
"25",25,1.62114493575922e-20,0.0844427683280452,"Gathering",1,"linear",TRUE,"P","standard_contxt"
"26",26,1.23780899926895e-13,0.071586638843786,"Gathering",1,"linear",TRUE,"P","standard_contxt"
"27",27,1.32352196200177e-12,0.00665504818217256,"Gathering",1,"linear",TRUE,"P","standard_contxt"
"28",28,5.85086365613426e-14,0.00149686309043746,"Gathering",1,"linear",TRUE,"P","standard_contxt"
"29",29,7.88783503148883e-12,0.160291296126836,"Gathering",1,"linear",TRUE,"P","standard_contxt"
"30",30,6.99160564724233e-13,0.00198747706287491,"Gathering",1,"linear",TRUE,"P","standard_contxt"
"31",31,0,0.0139530066309221,"Gathering",1,"nonlinear",TRUE,"P","standard_contxt"
"32",32,0,0.00249199893002011,"Gathering",1,"nonlinear",TRUE,"P","standard_contxt"
