"","X","has_preview_condition","reread_condition","linear","p_val","context","context_type"
"1",1,"Gathering",0,"nonlinear",0.548,"P","standard_contxt"
"2",2,"Gathering",1,"nonlinear",0.764,"P","standard_contxt"
"3",3,"Hunting",0,"nonlinear",0.096,"P","standard_contxt"
"4",4,"Hunting",1,"nonlinear",0.342,"P","standard_contxt"
"5",2,"Hunting",0,"nonlinear",0.085,"Q-P","regime_context"
"6",1,"Gathering",1,"nonlinear",0.409,"textFillP-P","text_control_context"
"7",2,"Hunting",0,"nonlinear",0.003,"textFillQ-P","text_control_context"
"8",2,"Hunting",1,"nonlinear",0.041,"textFillQfr-textFillP-textFillQ-P","text_control_context"
"9",1,"Gathering",0,"nonlinear",0.061,"instFirstReadP-P","prompt_regime_context"
"10",2,"Hunting",0,"nonlinear",0.043,"instFirstReadP-Q-P","prompt_regime_context"
"11",1,"Gathering",1,"nonlinear",0.791,"P-P","regime_context"
"12",2,"Hunting",1,"nonlinear",0.045,"Qfr-P-Q-P","regime_context"
"13",2,"Hunting",1,"nonlinear",0.015,"instFirstReadP-Qfr-P-instReReadP-Q-P","prompt_regime_context"
"14",1,"Gathering",1,"nonlinear",0.33,"instFirstReadP-P-instReReadP-P","prompt_regime_context"
