"","surp_p_val","prev_surp_p_val","converged","has_preview_condition","reread_condition","linear","additive_model"
"1",1.99756776344552e-124,2.8076468088613e-18,TRUE,"Gathering",0,"linear",TRUE
"2",3.02013075281398e-147,6.44359571408055e-16,TRUE,"Gathering",0,"linear",TRUE
"3",4.62264759140303e-155,3.55224294586985e-23,TRUE,"Gathering",0,"linear",TRUE
"4",1.57851086950224e-146,1.82850899216645e-17,TRUE,"Gathering",0,"linear",TRUE
"5",1.89378636494865e-144,1.64463806205352e-19,TRUE,"Gathering",0,"linear",TRUE
"6",1.03267489192413e-129,1.79070359349111e-29,TRUE,"Gathering",0,"linear",TRUE
"7",2.7857777643889e-141,1.13047250038519e-25,TRUE,"Gathering",0,"linear",TRUE
"8",4.91702638916037e-136,3.24964650980515e-31,TRUE,"Gathering",0,"linear",TRUE
"9",1.75965699994779e-149,2.23925461332137e-24,TRUE,"Gathering",0,"linear",TRUE
"10",2.55643288448096e-156,4.80552957266101e-17,TRUE,"Gathering",0,"linear",TRUE
"11",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"12",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"13",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"14",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"15",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"16",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"17",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"18",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"19",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"20",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"21",2.53108114056241e-87,3.20082344797075e-21,TRUE,"Hunting",0,"linear",TRUE
"22",4.63035419908786e-97,4.63899725726461e-25,TRUE,"Hunting",0,"linear",TRUE
"23",2.31756110118678e-119,7.23149488869642e-25,TRUE,"Hunting",0,"linear",TRUE
"24",1.44146344067744e-105,2.99686787490286e-16,TRUE,"Hunting",0,"linear",TRUE
"25",6.23845675204312e-119,1.1410796113076e-21,TRUE,"Hunting",0,"linear",TRUE
"26",3.4623749295335e-109,3.38233175921371e-29,TRUE,"Hunting",0,"linear",TRUE
"27",2.07931072975361e-114,8.34520822910998e-20,TRUE,"Hunting",0,"linear",TRUE
"28",3.90606093684419e-100,1.44255882340681e-26,TRUE,"Hunting",0,"linear",TRUE
"29",2.46304625263909e-113,2.75402541503314e-13,TRUE,"Hunting",0,"linear",TRUE
"30",2.92683361996421e-112,2.21828608473024e-31,TRUE,"Hunting",0,"linear",TRUE
"31",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"32",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"33",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"34",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"35",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"36",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"37",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"38",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"39",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"40",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
